sequence,label
"['timestamp', '1726408799999738566', '1726408799995311641', '1726408799995250948', '1726408799992523616', '1726408799992343592', '1726408799988461591', '1726408799988450078', '1726408799986664509', '1726408799937120637']",normal
"['1726408799999738566', '1726408799995311641', '1726408799995250948', '1726408799992523616', '1726408799992343592', '1726408799988461591', '1726408799988450078', '1726408799986664509', '1726408799937120637', '1726408799932688063']",normal
"['1726408799995311641', '1726408799995250948', '1726408799992523616', '1726408799992343592', '1726408799988461591', '1726408799988450078', '1726408799986664509', '1726408799937120637', '1726408799932688063', '1726408799929491432']",normal
"['1726408799995250948', '1726408799992523616', '1726408799992343592', '1726408799988461591', '1726408799988450078', '1726408799986664509', '1726408799937120637', '1726408799932688063', '1726408799929491432', '1726408799926955193']",normal
"['1726408799992523616', '1726408799992343592', '1726408799988461591', '1726408799988450078', '1726408799986664509', '1726408799937120637', '1726408799932688063', '1726408799929491432', '1726408799926955193', '1726408799924735035']",normal
"['1726408799992343592', '1726408799988461591', '1726408799988450078', '1726408799986664509', '1726408799937120637', '1726408799932688063', '1726408799929491432', '1726408799926955193', '1726408799924735035', '1726408799924671135']",normal
"['1726408799988461591', '1726408799988450078', '1726408799986664509', '1726408799937120637', '1726408799932688063', '1726408799929491432', '1726408799926955193', '1726408799924735035', '1726408799924671135', '1726408799924384698']",normal
"['1726408799988450078', '1726408799986664509', '1726408799937120637', '1726408799932688063', '1726408799929491432', '1726408799926955193', '1726408799924735035', '1726408799924671135', '1726408799924384698', '1726408799924367892']",normal
"['1726408799986664509', '1726408799937120637', '1726408799932688063', '1726408799929491432', '1726408799926955193', '1726408799924735035', '1726408799924671135', '1726408799924384698', '1726408799924367892', '1726408799913046026']",normal
"['1726408799937120637', '1726408799932688063', '1726408799929491432', '1726408799926955193', '1726408799924735035', '1726408799924671135', '1726408799924384698', '1726408799924367892', '1726408799913046026', '1726408799912307753']",normal
"['1726408799932688063', '1726408799929491432', '1726408799926955193', '1726408799924735035', '1726408799924671135', '1726408799924384698', '1726408799924367892', '1726408799913046026', '1726408799912307753', '1726408799907691841']",normal
"['1726408799929491432', '1726408799926955193', '1726408799924735035', '1726408799924671135', '1726408799924384698', '1726408799924367892', '1726408799913046026', '1726408799912307753', '1726408799907691841', '1726408799906068204']",normal
"['1726408799926955193', '1726408799924735035', '1726408799924671135', '1726408799924384698', '1726408799924367892', '1726408799913046026', '1726408799912307753', '1726408799907691841', '1726408799906068204', '1726408799905983648']",normal
"['1726408799924735035', '1726408799924671135', '1726408799924384698', '1726408799924367892', '1726408799913046026', '1726408799912307753', '1726408799907691841', '1726408799906068204', '1726408799905983648', '1726408799901651701']",normal
"['1726408799924671135', '1726408799924384698', '1726408799924367892', '1726408799913046026', '1726408799912307753', '1726408799907691841', '1726408799906068204', '1726408799905983648', '1726408799901651701', '1726408799896807706']",normal
"['1726408799924384698', '1726408799924367892', '1726408799913046026', '1726408799912307753', '1726408799907691841', '1726408799906068204', '1726408799905983648', '1726408799901651701', '1726408799896807706', '1726408799896740131']",normal
